City,Total_Shows,Total_Seats,Booked_Seats,Collection,Max_Collection,Occupancy
"Dharwad","13","0","0","0.00","0.00","0.00%"
"Kanakapura","2","0","0","0.00","0.00","0.00%"
"Karkala","3","0","0","0.00","0.00","0.00%"
"Mandya","4","0","0","0.00","0.00","0.00%"
"Moodbidri","0","0","0","0.00","0.00","0.00%"
"Sirsi","3","0","0","0.00","0.00","0.00%"
"Ranebennuru","4","0","0","0.00","0.00","0.00%"
"Udupi","8","0","0","0.00","0.00","0.00%"
"Channarayapatna","2","0","0","0.00","0.00","0.00%"
"Bagalkote","3","0","0","0.00","0.00","0.00%"
