City,Total_Shows,Total_Seats,Booked_Seats,Collection,Max_Collection,Occupancy
"Dharwad","6","0","0","0.00","0.00","0.00%"
"Kanakapura","4","0","0","0.00","0.00","0.00%"
"Karkala","1","0","0","0.00","0.00","0.00%"
"Mandya","1","0","0","0.00","0.00","0.00%"
"Moodbidri","0","0","0","0.00","0.00","0.00%"
"Sirsi","2","0","0","0.00","0.00","0.00%"
"Ranebennuru","2","0","0","0.00","0.00","0.00%"
"Udupi","4","0","0","0.00","0.00","0.00%"
"Channarayapatna","1","0","0","0.00","0.00","0.00%"
"Bagalkote","1","0","0","0.00","0.00","0.00%"
