City,Total_Shows,Total_Seats,Booked_Seats,Collection,Max_Collection,Occupancy
"Dharwad","8","0","0","0.00","0.00","0.00%"
"Kanakapura","1","0","0","0.00","0.00","0.00%"
"Karkala","1","0","0","0.00","0.00","0.00%"
"Mandya","2","0","0","0.00","0.00","0.00%"
"Moodbidri","0","0","0","0.00","0.00","0.00%"
"Sirsi","1","0","0","0.00","0.00","0.00%"
"Ranebennuru","1","0","0","0.00","0.00","0.00%"
"Udupi","9","0","0","0.00","0.00","0.00%"
"Channarayapatna","0","0","0","0.00","0.00","0.00%"
"Bagalkote","1","0","0","0.00","0.00","0.00%"
